time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Bullish Directional Shift,Bearish Directional Shift,Fast EMA,Slow EMA,Trend EMA,Long Signal,Short Signal,Bars In Trade
2026-09-18T00:40:00-04:00,4359.83,4365.52,4359.46,4364.65,4359.83,4365.52,4359.46,4364.65,0,0,4360.372040996576,4357.5227954860375,4351.716268301939,0,0,
2026-09-18T00:45:00-04:00,4364.64,4366.57,4364.08,4365.29,4364.64,4366.57,4364.08,4365.29,0,0,4362.0113606643845,4358.632396130889,4351.985055068237,0,0,
2026-09-18T00:50:00-04:00,4365.34,4366.97,4361.17,4361.58,4365.34,4366.97,4361.17,4361.58,0,0,4361.867573776256,4359.053482397905,4352.175053977777,0,0,
2026-09-18T00:55:00-04:00,4361.59,4367.05,4361.19,4366.93,4361.59,4367.05,4361.19,4366.93,0,0,4363.5550491841705,4360.178699198204,4352.467231126731,0,0,
2026-09-18T01:00:00-04:00,4366.94,4367.46,4364.16,4366.06,4366.94,4367.46,4364.16,4366.06,0,0,4364.390032789447,4361.018885027032,4352.736394866796,0,0,
2026-09-18T01:05:00-04:00,4366.06,4369.25,4364.09,4368.12,4366.06,4369.25,4364.09,4368.12,0,0,4365.633355192965,4362.0333300231705,4353.041020711018,0,0,
2026-09-18T01:10:00-04:00,4368.12,4368.46,4365.48,4365.49,4368.12,4368.46,4365.48,4365.49,0,0,4365.585570128643,4362.527140019861,4353.287535152384,0,0,
2026-09-18T01:15:00-04:00,4365.49,4369.53,4365.27,4368.83,4365.49,4369.53,4365.27,4368.83,0,0,4366.667046752428,4363.427548588452,4353.595306733525,0,0,
2026-09-18T01:20:00-04:00,4368.84,4368.84,4366.08,4366.79,4368.84,4368.84,4366.08,4366.79,0,0,4366.708031168286,4363.907898790101,4353.856587788307,0,0,
2026-09-18T01:25:00-04:00,4366.79,4366.98,4363.9,4364.66,4366.79,4366.98,4363.9,4364.66,0,0,4366.02535411219,4364.015341820087,4354.070516742993,0,0,
2026-09-18T01:30:00-04:00,4364.67,4365.73,4360.3,4362.84,4364.67,4365.73,4360.3,4362.84,0,0,4364.963569408127,4363.847435845789,4354.244169876795,0,0,
2026-09-18T01:35:00-04:00,4362.83,4373.07,4362.8,4372.35,4362.83,4373.07,4362.8,4372.35,0,0,4367.4257129387515,4365.062087867819,4354.602701166364,0,0,
2026-09-18T01:40:00-04:00,4372.35,4378.28,4370.59,4377.1,4372.35,4378.28,4370.59,4377.1,0,0,4370.650475292501,4366.781789600988,4355.048192232376,0,0,
2026-09-18T01:45:00-04:00,4377.1,4377.9,4370.83,4370.84,4377.1,4377.9,4370.83,4370.84,0,0,4370.713650195001,4367.361533943705,4355.360901297082,0,0,
2026-09-18T01:50:00-04:00,4370.82,4374.82,4370.59,4373.57,4370.82,4374.82,4370.59,4373.57,0,0,4371.665766796667,4368.248457666033,4355.721477509021,0,0,
2026-09-18T01:55:00-04:00,4373.56,4378.06,4370.97,4377.33,4373.56,4378.06,4370.97,4377.33,0,0,4373.553844531111,4369.5458208566,4356.149369043495,0,0,
2026-09-18T02:00:00-04:00,4377.32,4387.1,4377.29,4382.41,4377.32,4387.1,4377.29,4382.41,0,0,4376.505896354074,4371.383560734228,4356.669381537684,0,0,
2026-09-18T02:05:00-04:00,4382.41,4388.22,4379.73,4387.43,4382.41,4388.22,4379.73,4387.43,0,0,4380.1472642360495,4373.675909200767,4357.278502695353,0,0,
2026-09-18T02:10:00-04:00,4387.44,4390.3,4386.47,4389.04,4387.44,4390.3,4386.47,4389.04,0,0,4383.1115094907,4375.870779314943,4357.907443236039,0,0,
2026-09-18T02:15:00-04:00,4389.07,4389.12,4381.88,4384.83,4389.07,4389.12,4381.88,4384.83,0,0,4383.684339660466,4377.150667984237,4358.440563171959,0,0,
2026-09-18T02:20:00-04:00,4384.84,4391.8,4384.63,4391.56,4384.84,4391.8,4384.63,4391.56,0,0,4386.309559773645,4379.209143986489,4359.096393604198,0,0,
2026-09-18T02:25:00-04:00,4391.56,4393.91,4391.07,4392.48,4391.56,4393.91,4391.07,4392.48,0,0,4388.36637318243,4381.104980559848,4359.757455116986,0,0,
2026-09-18T02:30:00-04:00,4392.46,4393.68,4390.8,4393.2,4392.46,4393.68,4390.8,4393.2,0,0,4389.97758212162,4382.832840479869,4360.419683728531,0,0,
2026-09-18T02:35:00-04:00,4393.12,4394.63,4391.96,4394.59,4393.12,4394.63,4391.96,4394.59,0,0,4391.515054747747,4384.512434697031,4361.096323654699,0,0,
2026-09-18T02:40:00-04:00,4394.61,4397.04,4393.83,4396.24,4394.61,4397.04,4393.83,4396.24,0,0,4393.090036498498,4386.187801168883,4361.792238037774,0,0,
2026-09-18T02:45:00-04:00,4396.23,4397.27,4394.93,4395.32,4396.23,4397.27,4394.93,4395.32,0,0,4393.833357665665,4387.492401001899,4362.456154116234,0,0,
2026-09-18T02:50:00-04:00,4395.32,4395.46,4390.58,4391.2,4395.32,4395.46,4390.58,4391.2,0,0,4392.95557177711,4388.0220580016285,4363.025339183239,0,0,
2026-09-18T02:55:00-04:00,4391.2,4394.1,4389.7,4393.5,4391.2,4394.1,4389.7,4393.5,0,0,4393.137047851406,4388.804621144253,4363.628797813274,0,0,
2026-09-18T03:00:00-04:00,4393.53,4395.6,4390.91,4391.46,4393.53,4395.6,4390.91,4391.46,0,0,4392.578031900937,4389.1839609807885,4364.179910727863,0,0,
2026-09-18T03:05:00-04:00,4391.46,4395.7,4391.29,4393.69,4391.46,4395.7,4391.29,4393.69,0,0,4392.948687933958,4389.827680840675,4364.7642689312715,0,0,
2026-09-18T03:10:00-04:00,4393.69,4394.13,4388.97,4390.52,4393.69,4394.13,4388.97,4390.52,0,0,4392.139125289305,4389.926583577721,4365.27428340788,0,0,
2026-09-18T03:15:00-04:00,4390.56,4394.04,4389.8,4392.78,4390.56,4394.04,4389.8,4392.78,0,0,4392.35275019287,4390.334214495189,4365.818951063169,0,0,
2026-09-18T03:20:00-04:00,4392.79,4394.73,4391.79,4393.41,4392.79,4394.73,4391.79,4393.41,0,0,4392.705166795246,4390.773612424448,4366.365308467859,0,0,
2026-09-18T03:25:00-04:00,4393.41,4395.9,4392.32,4395.69,4393.41,4395.9,4392.32,4395.69,0,0,4393.700111196831,4391.47595350667,4366.945995428891,0,0,
2026-09-18T03:30:00-04:00,4395.68,4397.23,4392.05,4393.32,4395.68,4397.23,4392.05,4393.32,0,0,4393.573407464554,4391.739388720002,4367.468252945151,0,0,
2026-09-18T03:35:00-04:00,4393.32,4397.06,4392.07,4393.82,4393.32,4397.06,4392.07,4393.82,0,0,4393.655604976369,4392.036618902859,4367.990069718515,0,0,
2026-09-18T03:40:00-04:00,4393.82,4395.31,4391.3,4393.73,4393.82,4395.31,4391.3,4393.73,0,0,4393.6804033175795,4392.2785304881645,4368.499771308248,0,0,
2026-09-18T03:45:00-04:00,4393.73,4397.46,4393.66,4397.37,4393.73,4397.46,4393.66,4397.37,0,0,4394.910268878386,4393.005883275569,4369.071459005114,0,0,
2026-09-18T03:50:00-04:00,4397.39,4399.59,4395.3,4397.37,4397.39,4399.59,4395.3,4397.37,0,0,4395.730179252258,4393.629328521916,4369.631826153527,0,0,
2026-09-18T03:55:00-04:00,4397.23,4397.86,4392.67,4393.39,4397.23,4397.86,4392.67,4393.39,0,0,4394.9501195015055,4393.5951387330715,4370.102285041576,0,0,
2026-09-18T04:00:00-04:00,4393.39,4398.29,4392.88,4397.78,4393.39,4398.29,4392.88,4397.78,0,0,4395.893413001004,4394.192976056918,4370.6503586051085,0,0,
2026-09-18T04:05:00-04:00,4397.84,4398.48,4394.22,4394.91,4397.84,4398.48,4394.22,4394.91,0,0,4395.565608667336,4394.295408048787,4371.1307475436215,0,0,
2026-09-18T04:10:00-04:00,4394.88,4395.21,4390.39,4390.44,4394.88,4395.21,4390.39,4390.44,0,0,4393.857072444891,4393.744635470389,4371.513108978401,0,0,
2026-09-18T04:15:00-04:00,4390.42,4392.63,4389.94,4391.64,4390.42,4392.63,4389.94,4391.64,0,0,4393.118048296594,4393.443973260333,4371.911661275858,0,0,
2026-09-18T04:20:00-04:00,4391.64,4394.01,4389.54,4390.07,4391.64,4394.01,4389.54,4390.07,0,0,4392.102032197729,4392.961977080286,4372.271232339703,0,0,
2026-09-18T04:25:00-04:00,4390.09,4390.56,4387.72,4387.88,4390.09,4390.56,4387.72,4387.88,0,0,4390.69468813182,4392.2359803545305,4372.580316847828,0,0,
2026-09-18T04:30:00-04:00,4387.88,4388.9,4386.2,4387.76,4387.88,4388.9,4386.2,4387.76,0,1,4389.716458754547,4391.596554589598,4372.88090463302,0,0,
2026-09-18T04:35:00-04:00,4387.76,4389.48,4386.1,4386.7,4387.76,4389.48,4386.1,4386.7,0,0,4388.710972503031,4390.897046791084,4373.154550085831,0,0,
2026-09-18T04:40:00-04:00,4386.69,4387.11,4385.18,4386.83,4386.69,4387.11,4385.18,4386.83,0,0,4388.083981668688,4390.316040106643,4373.42535107423,0,0,
2026-09-18T04:45:00-04:00,4386.87,4388.93,4386.34,4386.83,4386.87,4388.93,4386.34,4386.83,1,0,4387.665987779125,4389.818034377123,4373.69078966682,0,0,
2026-09-18T04:50:00-04:00,4386.83,4392.98,4386.83,4392.05,4386.83,4392.98,4386.83,4392.05,0,0,4389.127325186084,4390.136886608962,4374.054338386289,0,0,
2026-09-18T04:55:00-04:00,4392.05,4394.29,4391.79,4392.33,4392.05,4394.29,4391.79,4392.33,0,0,4390.19488345739,4390.450188521968,4374.41623267567,0,0,
2026-09-18T05:00:00-04:00,4392.33,4395.21,4391.75,4395.04,4392.33,4395.21,4391.75,4395.04,0,0,4391.809922304927,4391.105875875973,4374.824624107834,0,0,
2026-09-18T05:05:00-04:00,4395.05,4397.33,4394.31,4396.2,4395.05,4397.33,4394.31,4396.2,0,0,4393.273281536618,4391.833607893691,4375.247898877976,0,0,
2026-09-18T05:10:00-04:00,4396.21,4398.16,4394.31,4394.5,4396.21,4398.16,4394.31,4394.5,0,0,4393.682187691079,4392.214521051735,4375.629128603165,0,0,
2026-09-18T05:15:00-04:00,4394.49,4395.38,4392.7,4393.17,4394.49,4395.38,4392.7,4393.17,0,0,4393.511458460719,4392.351018044344,4375.976472591221,0,0,
2026-09-18T05:20:00-04:00,4393.17,4394.91,4391.06,4391.38,4393.17,4394.91,4391.06,4391.38,0,0,4392.800972307146,4392.212301180866,4376.281492935949,0,0,
2026-09-18T05:25:00-04:00,4391.32,4391.32,4385.79,4387.83,4391.32,4391.32,4385.79,4387.83,0,1,4391.143981538097,4391.586258155028,4376.510176244148,0,0,
2026-09-18T05:30:00-04:00,4387.84,4388.82,4385.66,4385.82,4387.84,4388.82,4385.66,4385.82,0,0,4389.369321025398,4390.762506990024,4376.694529189808,0,0,
2026-09-18T05:35:00-04:00,4385.81,4386.25,4381,4381.45,4385.81,4386.25,4381,4381.45,0,0,4386.729547350265,4389.432148848592,4376.788696928624,0,0,
2026-09-18T05:40:00-04:00,4381.37,4381.74,4376.65,4376.65,4381.37,4381.74,4376.65,4376.65,0,0,4383.3696982335105,4387.606127584508,4376.78595045479,0,0,
2026-09-18T05:45:00-04:00,4376.66,4377.06,4373.42,4374.7,4376.66,4377.06,4373.42,4374.7,0,0,4380.47979882234,4385.7623950724355,4376.74464450519,0,0,
2026-09-18T05:50:00-04:00,4374.7,4378.2,4374.34,4378.19,4374.7,4378.2,4374.34,4378.19,0,0,4379.7165325482265,4384.680624347802,4376.773265406077,0,0,
2026-09-18T05:55:00-04:00,4378.19,4378.31,4375.97,4376.57,4378.19,4378.31,4375.97,4376.57,0,0,4378.6676883654845,4383.521963726687,4376.769240348532,0,0,
2026-09-18T06:00:00-04:00,4376.58,4379.19,4375.78,4376.93,4376.58,4379.19,4375.78,4376.93,0,0,4378.088458910323,4382.580254622875,4376.7724237079665,0,0,
2026-09-18T06:05:00-04:00,4376.93,4379.89,4376.13,4378.98,4376.93,4379.89,4376.13,4378.98,0,0,4378.385639273549,4382.065932533893,4376.816138089987,0,0,
2026-09-18T06:10:00-04:00,4378.98,4380.08,4378.12,4379.14,4378.98,4380.08,4378.12,4379.14,0,0,4378.637092849032,4381.647942171909,4376.8621551575125,0,0,
2026-09-18T06:15:00-04:00,4379.13,4379.92,4377.6,4379.66,4379.13,4379.92,4377.6,4379.66,0,0,4378.9780618993545,4381.363950433065,4376.917558025681,0,0,
2026-09-18T06:20:00-04:00,4379.67,4380.41,4378.09,4379.98,4379.67,4380.41,4378.09,4379.98,0,0,4379.3120412662365,4381.166243228341,4376.9782004410135,0,0,
