tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
15,atr,3.0,1.5,5,1.0,off,none,11,7,4,0.5454545454545454,2144.3620327439276,0.0,2144.3620327439276,0.0,1.6412607889570325,0.36363636363636576,1448.2879892281053,31.0,0.5454545454545454,0.45454545454545453,0.0,0.0,0.09090909090909091,194.9420029767207
15,atr,3.0,1.5,5,1.0,off,exchange,11,7,4,0.5454545454545454,2164.3620327439276,926.0703021580139,1238.2917305859137,0.10485019656014274,1.3298959547145233,0.22992881822970207,1603.7725732227264,31.0,0.5454545454545454,0.45454545454545453,0.0,0.0,0.09090909090909091,112.57197550781034
15,atr,3.0,1.5,5,1.0,off,cfd_std,10,7,3,0.5,1333.8579632585897,202.5,1131.3579632585897,0.025675766660876103,1.3316327794248592,0.2365243862847032,1475.2879892281053,34.7,0.5,0.5,0.0,0.0,0.1,113.13579632585898
15,atr,3.0,1.5,5,1.0,off,cfd_raw,10,7,3,0.5,1284.3579632585897,180.0,1104.3579632585897,0.022806998861541618,1.3234812678574792,0.23226776030352886,1476.2879892281053,34.7,0.5,0.5,0.0,0.0,0.1,110.43579632585897
15,atr,3.0,1.5,5,1.0,bar,none,16,9,7,0.4375,135.92691740425653,0.0,135.92691740425653,0.0,1.0430393839494465,0.02054410616564431,1986.047346098363,6.8125,0.1875,0.3125,0.5,0.0,0.0625,8.495432337766033
15,atr,3.0,1.5,5,1.0,bar,exchange,16,9,7,0.3125,149.92691740425653,1359.004981676791,-1209.0780642725342,0.21081860037766814,0.6952545413685765,-0.12707885067279787,2967.8739743916376,6.8125,0.1875,0.3125,0.5,0.0,0.0625,-75.56737901703339
15,atr,3.0,1.5,5,1.0,bar,cfd_std,16,9,7,0.4375,-160.08446131378878,405.0,-565.0844613137888,0.0672610828168803,0.8304932305693506,-0.05404941517813365,2154.109754203062,7.125,0.125,0.3125,0.5625,0.0,0.0625,-35.3177788321118
15,atr,3.0,1.5,5,1.0,bar,cfd_raw,16,9,7,0.4375,-193.08446131378878,336.0,-529.0844613137888,0.05559864709118182,0.8404545255984376,-0.05026158837578387,2122.109754203062,7.125,0.125,0.3125,0.5625,0.0,0.0625,-33.0677788321118
15,atr,3.0,1.5,5,1.0,tick,none,16,9,7,0.5,-90.01750114321476,0.0,-90.01750114321476,0.0,0.9712114824828099,0.002711205773468728,1970.0898319638072,4.4375,0.125,0.3125,0.5625,0.0,0.0625,-5.626093821450922
15,atr,3.0,1.5,5,1.0,tick,exchange,16,9,7,0.5,-78.01750114321476,1361.6086927280278,-1439.626193871242,0.22119509410969027,0.6200162365933566,-0.1453955887287004,2379.4644527405035,4.4375,0.125,0.3125,0.5625,0.0,0.0625,-89.97663711695263
