time,open,high,low,close,Volume
1903-07-01,6.85,6.85,6.47,6.47,0
1903-10-01,6.26,6.57,6.26,6.57,0
1904-01-01,6.68,6.68,6.48,6.48,0
1904-04-01,6.64,6.64,6.51,6.51,0
1904-07-01,6.78,7.32,6.78,7.32,0
1904-10-03,8.17,8.25,8.17,8.25,0
1905-01-02,8.8,9.05,8.8,9.05,0
1905-04-03,8.5,8.6,8.5,8.6,0
1905-07-03,9.2,9.23,9.2,9.23,0
1905-10-02,9.31,9.54,9.31,9.54,0
1906-01-01,9.87,9.87,9.56,9.56,0
1906-04-02,9.18,9.3,9.18,9.3,0
1906-07-02,9.73,9.73,9.73,9.73,0
1906-10-01,9.73,9.93,9.73,9.93,0
1907-01-01,9.56,9.56,8.35,8.35,0
1907-04-01,8.39,8.39,8.1,8.1,0
1907-07-01,8.14,8.14,7.53,7.53,0
1907-10-01,6.64,6.64,6.25,6.25,0
1908-01-01,6.85,6.85,6.85,6.85,0
1908-04-01,7.24,7.64,7.24,7.64,0
1908-07-01,7.92,8.17,7.92,8.17,0
1908-10-01,8.27,9.03,8.27,9.03,0
1909-01-01,9.06,9.06,8.8,8.92,0
1909-04-01,9.32,9.8,9.32,9.8,0
1909-07-01,9.94,10.19,9.94,10.19,0
1909-10-01,10.23,10.3,10.18,10.3,0
1910-01-03,9.72,9.96,9.72,9.96,0
1910-04-01,9.72,9.72,9.1,9.1,0
1910-07-01,8.64,8.91,8.64,8.91,0
1910-10-03,9.31,9.31,9.05,9.05,0
1911-01-02,9.43,9.43,9.32,9.32,0
1911-04-03,9.48,9.67,9.48,9.67,0
1911-07-03,9.17,9.17,8.67,8.67,0
1911-10-02,9.07,9.11,9.07,9.11,0
1912-01-01,9.12,9.3,9.04,9.3,0
1912-04-01,9.59,9.59,9.58,9.58,0
1912-07-01,9.59,9.81,9.59,9.81,0
1912-10-01,9.84,9.84,9.73,9.73,0
1913-01-01,9.3,9.3,9.3,9.3,0
1913-04-01,8.79,8.79,8.55,8.55,0
1913-07-01,8.23,8.53,8.23,8.53,0
1913-10-01,8.26,8.26,8.04,8.04,0
1914-01-01,8.37,8.37,8.37,8.37,0
1914-04-01,8.12,8.17,8.12,8.13,0
1914-07-01,7.68,7.68,7.68,7.68,0
1914-10-01,7.68,7.68,7.35,7.35,0
1915-01-01,7.48,7.57,7.38,7.57,0
1915-04-01,8.14,8.14,8.04,8.04,0
1915-07-01,8.01,8.66,8.01,8.66,0
1915-10-01,9.14,9.48,9.14,9.48,0
1916-01-03,9.2,9.2,9.17,9.17,0
1916-04-03,9.27,9.36,9.27,9.36,0
1916-07-03,9.3,9.68,9.3,9.68,0
1916-10-02,10.21,10.21,9.8,9.8,0
1917-01-01,9.57,9.57,9.03,9.31,0
1917-04-02,8.86,9.04,8.86,9.04,0
1917-07-02,8.53,8.53,8.53,8.53,0
1917-10-01,7.68,7.68,7.04,7.04,0
1918-01-01,7.21,7.43,7.21,7.28,0
1918-04-01,7.21,7.44,7.21,7.44,0
1918-07-01,7.51,7.58,7.51,7.58,0
1918-10-01,7.86,8.06,7.86,8.06,0
1919-01-01,7.85,7.85,7.85,7.85,0
1919-04-01,8.39,8.97,8.39,8.97,0
1919-07-01,9.51,9.51,8.87,9.01,0
1919-10-01,9.47,9.47,8.92,8.92,0
1920-01-01,8.83,8.83,8.67,8.67,0
1920-04-01,8.6,8.6,7.92,7.92,0
1920-07-01,7.91,7.91,7.87,7.87,0
1920-10-01,7.88,7.88,6.81,6.81,0
1921-01-03,7.06,7.06,6.88,6.88,0
1921-04-01,6.91,6.91,6.55,6.55,0
1921-07-01,6.53,6.61,6.45,6.61,0
1921-10-03,7.06,7.31,7.06,7.31,0
1922-01-02,7.46,7.74,7.46,7.74,0
1922-04-03,8.53,8.53,8.45,8.45,0
1922-07-03,8.83,9.06,8.83,9.06,0
1922-10-02,8.8,8.8,8.78,8.78,0
1923-01-01,8.9,9.43,8.9,9.43,0
1923-04-02,8.67,8.67,8.34,8.34,0
1923-07-02,8.1,8.1,8.1,8.1,0
1923-10-01,8.03,8.27,8.03,8.27,0
1924-01-01,8.83,8.87,8.83,8.87,0
1924-04-01,8.5,8.5,8.47,8.47,0
1924-07-01,9.03,9.34,9.03,9.25,0
1924-10-01,9.13,10.16,9.13,10.16,0
1925-01-01,10.58,10.58,10.58,10.58,0
1925-04-01,10.28,10.8,10.28,10.8,0
1925-07-01,11.1,11.51,11.1,11.51,0
1925-10-01,11.89,12.46,11.89,12.46,0
1926-01-01,12.65,12.67,11.81,11.81,0
1926-04-01,11.48,12.11,11.48,12.11,0
1926-07-01,12.62,13.32,12.62,13.32,0
1926-10-01,13.02,13.49,13.02,13.49,0
1927-01-03,13.66,13.87,13.66,13.87,0
1927-04-01,14.21,14.89,14.21,14.89,0
1927-07-01,15.22,16.94,15.22,16.94,0
1927-10-03,17.06,17.66,17.06,17.66,0
1928-01-02,17.76,19.280001,16.950001,19.280001,0
1928-04-02,18.91,20.440001,18.34,19.139999,0
1928-07-02,18.98,21.43,18.700001,21.139999,0
1928-10-01,21.360001,24.35,21.110001,24.35,0
1929-01-01,24.809999,26.08,24.17,25.530001,0
1929-04-01,24.879999,27.41,24.200001,27.41,0
1929-07-01,27.77,31.860001,27.77,30.16,0
