time,open,high,low,close,Swing High,Swing Low,Trail,Fast,Signal,Base line,Band A,Band B,Fast,Slow
2026-09-22T16:00:00-04:00,4364.01,4364.66,4362.44,4362.715,4371.38,4348.77,,61.35696292651535,73.27195877469906,68.1437171661639,80.85492142116367,55.432512911164125,61.918778724748286,72.87099387485826
2026-09-22T16:05:00-04:00,4362.73,4363.245,4360.88,4362.225,4371.38,4348.77,,59.119582041892485,70.05531146538684,68.08687892973742,80.89900198493542,55.27475587453942,59.83745233218012,69.91208013154515
2026-09-22T16:10:00-04:00,4362.19,4362.485,4358.555,4359.44,4371.38,4348.77,,55.18221915625523,66.0424044547738,67.91691561810651,81.18139758074558,54.65243365546745,56.157917749929325,66.2057277972056
2026-09-22T16:15:00-04:00,4359.445,4360.65,4359.1,4359.39,4371.38,4348.77,,51.80826572878476,62.13170600187571,67.59966800209325,81.51324717860633,53.68608882558017,53.00194444264909,62.592363221453695
2026-09-22T16:20:00-04:00,4359.38,4360.72,4358.31,4360.435,4371.38,4348.77,,52.89620252991154,58.58099769703967,67.55162876391078,81.57976174913809,53.52349577868349,53.971586734926106,59.301219239244595
2026-09-22T16:25:00-04:00,4360.415,4360.635,4359.125,4359.655,4371.38,4348.77,,53.042518293269914,55.84494234643855,67.44378767174055,81.74357748788694,53.143997855594165,54.06593882150716,56.747660202932586
2026-09-22T16:30:00-04:00,4359.61,4360.215,4358.565,4358.81,4371.38,4348.77,,50.961999086319594,53.974414728689695,67.15439118329695,82.10213017396148,52.20665219263242,52.12966741430047,54.990421574279004
2026-09-22T16:35:00-04:00,4358.855,4359.08,4357.45,4357.69,4371.38,4348.77,,48.47522620295642,52.16444613970743,66.72280526341996,82.59005895123695,50.855551575602966,49.80988538685138,53.2879763921049
2026-09-22T16:40:00-04:00,4357.745,4359.21,4357.745,4358.66,4371.38,4348.77,,48.39883358222336,50.91134374021279,66.03580543286502,82.45739280151238,49.61421806421765,49.674300737428,52.08666397577839
2026-09-22T16:45:00-04:00,4358.565,4358.76,4357.66,4357.695,4371.38,4348.77,,48.45121432202946,50.241301901357204,65.2376474241425,82.27082604449473,48.20446880379026,49.66436023355851,51.43267424457038
