Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
77,Exit short,2026-05-13 23:00,Exit Short,4674.2,1,4686.36,12.16,0.26,0,12.35,0.26,-7.08,-0.15,1022.59,1.02,1
77,Entry short,2026-05-13 22:00,Short,4686.36,1,4686.36,12.16,0.26,0,12.35,0.26,-7.08,-0.15,1022.59,1.02,1
78,Exit short,2026-05-18 07:00,Exit Short,4530.38,1,4540.18,9.8,0.22,0,10.05,0.22,-0.05,0.00,1032.39,1.03,1
78,Entry short,2026-05-18 06:00,Short,4540.18,1,4540.18,9.8,0.22,0,10.05,0.22,-0.05,0.00,1032.39,1.03,1
79,Exit short,2026-06-04 19:00,Exit Short,4460.77,1,4469.6,8.83,0.20,0,9.02,0.20,-4.48,-0.10,1041.22,1.04,1
79,Entry short,2026-06-04 18:00,Short,4469.6,1,4469.6,8.83,0.20,0,9.02,0.20,-4.48,-0.10,1041.22,1.04,1
80,Exit short,2026-06-05 10:00,Exit Short,4365.91,1,4406.14,40.23,0.91,0,40.44,0.92,-14.92,-0.34,1081.45,1.08,2
80,Entry short,2026-06-05 08:00,Short,4406.14,1,4406.14,40.23,0.91,0,40.44,0.92,-14.92,-0.34,1081.45,1.08,2
81,Exit short,2026-06-09 11:00,Exit Short,4263.37,1,4300.57,37.2,0.87,0,37.42,0.87,-1.55,-0.04,1118.65,1.12,1
81,Entry short,2026-06-09 10:00,Short,4300.57,1,4300.57,37.2,0.87,0,37.42,0.87,-1.55,-0.04,1118.65,1.12,1
82,Exit long,2026-06-17 10:00,Exit Long,4363.77,1,4340,23.77,0.55,0,23.93,0.55,-7.4,-0.17,1142.42,1.14,1
82,Entry long,2026-06-17 09:00,Long,4340,1,4340,23.77,0.55,0,23.93,0.55,-7.4,-0.17,1142.42,1.14,1
83,Exit short,2026-06-17 15:00,Exit Short,4219.37,1,4286.22,66.85,1.56,0,67.1,1.57,-9.15,-0.21,1209.27,1.21,1
83,Entry short,2026-06-17 14:00,Short,4286.22,1,4286.22,66.85,1.56,0,67.1,1.57,-9.15,-0.21,1209.27,1.21,1
84,Exit short,2026-06-22 18:00,Max Bars Exit,4190.02,1,4183.05,-6.97,-0.17,0,0.5,0.01,-11.52,-0.28,1202.3,1.20,4
84,Entry short,2026-06-22 13:00,Short,4183.05,1,4183.05,-6.97,-0.17,0,0.5,0.01,-11.52,-0.28,1202.3,1.20,4
85,Exit short,2026-06-22 22:00,Exit Short,4146.87,1,4161.31,14.44,0.35,0,14.65,0.35,-2.21,-0.05,1216.74,1.22,1
85,Entry short,2026-06-22 21:00,Short,4161.31,1,4161.31,14.44,0.35,0,14.65,0.35,-2.21,-0.05,1216.74,1.22,1
86,Exit short,2026-06-30 19:00,Exit Short,4005.67,1,4007.1,1.43,0.04,0,1.64,0.04,-11.29,-0.28,1218.17,1.22,2
86,Entry short,2026-06-30 16:00,Short,4007.1,1,4007.1,1.43,0.04,0,1.64,0.04,-11.29,-0.28,1218.17,1.22,2
